gps:true;id=latitude,type=0;id=longitude,type=0;id=speed,type=1;id=time,type=0;id=altitude,type=0;id=accuracy,type=0
cmdDesc:010D=Vehicle speed (Speed);UnitType=MPH;Unit=1
1558061029635;010D;44.0
1558061029924;010D;45.0
1558061030117;010D;45.0
1558061030117;gps;43.500431666666664:-96.76509833333333:12.368853:1558061031000:443.2:1.8:12.345613
1558061030392;010D;45.0
1558061030728;010D;45.0
1558061031044;010D;45.0
1558061031045;gps;43.50043333333333:-96.76525333333332:12.503266:1558061032000:443.2:1.8:12.371863
1558061031488;010D;45.0
1558061031942;010D;45.0
1558061032127;gps;43.500431666666664:-96.76541:12.637681:1558061033000:443.2:1.8:12.634372
1558061032265;010D;45.0
1558061032501;010D;45.0
1558061032727;010D;46.0
1558061032952;010D;46.0
1558061033104;gps;43.50042833333334:-96.76556666666666:12.641757:1558061034000:443.1:1.8:12.733198
1558061033210;010D;46.0
1558061033547;010D;46.0
1558061033865;010D;46.0
1558061034074;010D;46.0
1558061034088;gps;43.50043000000001:-96.76572499999999:12.772096:1558061035000:442.6:1.8:12.761508
1558061034339;010D;46.0
1558061034547;010D;46.0
1558061034730;010D;46.0
1558061035002;010D;46.0
1558061035088;gps;43.50043000000001:-96.76588666666666:13.039609:1558061036000:442.2:1.8:12.85879
1558061035235;010D;46.0
1558061035475;010D;46.0
1558061035689;010D;46.0
1558061035999;010D;46.0
1558061036130;gps;43.500431666666664:-96.76604333333334:12.637681:1558061037000:441.9:1.8:12.702829
1558061036266;010D;46.0
1558061036525;010D;46.0
1558061036791;010D;46.0
1558061037057;010D;46.0
1558061037065;gps;43.50043333333333:-96.76619833333334:12.503266:1558061038000:441.7:1.8:12.8438635
1558061037358;010D;46.0
1558061037649;010D;46.0
1558061037923;010D;46.0
1558061038101;gps;43.50043333333333:-96.76635666666668:12.77075:1558061039000:441.6:1.8:12.752758
1558061038259;010D;46.0
1558061038501;010D;46.0
1558061038744;010D;46.0
1558061038987;010D;46.0
1558061039109;gps;43.500435:-96.76651500000001:12.772095:1558061040000:441.6:1.8:12.857246
1558061039247;010D;46.0
1558061039505;010D;46.0
1558061039735;010D;46.0
1558061040002;010D;46.0
1558061040202;gps;43.50043666666667:-96.766675:12.906509:1558061041000:441.6:1.8:12.854672
1558061040378;010D;46.0
1558061040621;010D;45.0
1558061040880;010D;45.0
1558061041122;010D;45.0
1558061041124;gps;43.50044:-96.76683499999999:12.9105:1558061042000:441.6:1.8:12.696138
1558061041414;010D;45.0
1558061041713;010D;45.0
1558061041953;010D;45.0
1558061042057;gps;43.50044166666667:-96.76699333333333:12.772094:1558061043000:441.7:1.8:12.606062
1558061042194;010D;45.0
1558061042490;010D;45.0
1558061042770;010D;44.0
1558061043000;010D;44.0
1558061043105;gps;43.50044:-96.76715:12.637679:1558061044000:441.9:1.8:12.398114
1558061043249;010D;44.0
1558061043491;010D;44.0
1558061043713;010D;44.0
1558061044055;010D;44.0
1558061044062;gps;43.50043666666667:-96.76730333333334:12.373015:1558061045000:442.0:1.8:12.154136
1558061044279;010D;44.0
1558061044706;010D;44.0
1558061044979;010D;44.0
1558061045079;gps;43.500435:-96.767455:12.234438:1558061046000:442.1:1.8:12.172152
1558061045195;010D;44.0
1558061045463;010D;44.0
1558061045672;010D;44.0
1558061046035;010D;43.0
1558061046169;gps;43.50043000000001:-96.767605:12.111374:1558061047000:442.2:1.8:12.087222
1558061046276;010D;43.0
1558061046552;010D;43.0
1558061046736;010D;43.0
1558061046984;010D;43.0
1558061047204;gps;43.50043000000001:-96.76775666666666:12.233035:1558061048000:442.6:1.8:12.106267
1558061047331;010D;43.0
1558061047547;010D;43.0
1558061047789;010D;43.0
1558061048141;010D;43.0
1558061048142;gps;43.50043000000001:-96.76790833333334:12.233035:1558061049000:443.0:1.8:11.89523
1558061048424;010D;43.0
1558061048696;010D;43.0
1558061048975;010D;43.0
1558061049123;gps;43.50042666666666:-96.768055:11.835554:1558061050000:443.6:1.7:11.88545
1558061049227;010D;43.0
1558061049716;010D;43.0
1558061049969;010D;43.0
1558061050062;gps;43.50042666666666:-96.76820333333332:11.964178:1558061051000:444.1:1.7:11.977586
1558061050219;010D;43.0
1558061050782;010D;43.0
1558061050976;010D;43.0
1558061051105;gps;43.50042499999999:-96.76835166666666:11.965613:1558061052000:444.0:1.7:12.079501
1558061051221;010D;43.0
1558061051463;010D;43.0
1558061051699;010D;43.0
1558061051964;010D;43.0
1558061052132;gps;43.50042499999999:-96.7685:11.964178:1558061053000:444.4:1.7:12.08156
1558061052278;010D;43.0
1558061052566;010D;43.0
1558061052796;010D;44.0
1558061053049;gps;43.50042666666666:-96.76865166666667:12.23444:1558061054000:444.4:1.7:12.204063
1558061053072;010D;44.0
1558061053360;010D;44.0
1558061053625;010D;44.0
1558061053860;010D;44.0
1558061054108;gps;43.50042666666666:-96.76880333333332:12.233036:1558061055000:444.7:1.7:12.3559065
1558061054109;010D;44.0
1558061054366;010D;44.0
1558061054565;010D;44.0
1558061054822;010D;44.0
1558061055180;010D;44.0
1558061055198;gps;43.50042666666666:-96.76895666666665:12.367465:1558061056000:444.9:1.7:12.32348
1558061055442;010D;45.0
1558061055688;010D;45.0
1558061055959;010D;45.0
1558061056101;gps;43.50042666666666:-96.76911333333334:12.636323:1558061057000:445.1:1.7:12.523191
1558061056236;010D;45.0
1558061056558;010D;45.0
1558061056778;010D;45.0
1558061057058;010D;45.0
1558061057061;gps;43.50042333333334:-96.76926666666668:12.373018:1558061058000:445.2:1.7:12.497971
1558061057295;010D;45.0
1558061057520;010D;45.0
1558061057743;010D;45.0
1558061058109;010D;45.0
1558061058111;gps;43.50042166666667:-96.76942166666667:12.503268:1558061059000:445.8:1.7:12.746066
1558061058329;010D;45.0
1558061058616;010D;45.0
1558061058828;010D;45.0
1558061059057;010D;46.0
1558061059058;gps;43.50041666666666:-96.76957833333333:12.648549:1558061060000:445.9:1.7:12.64724
1558061059302;010D;45.0
1558061059490;010D;45.0
1558061059778;010D;45.0
1558061060060;010D;46.0
1558061060062;gps;43.500411666666665:-96.76973666666666:12.782851:1558061061000:445.9:1.8:12.625622
1558061060306;010D;46.0
1558061060714;010D;46.0
1558061060980;010D;46.0
1558061061127;gps;43.50040833333334:-96.76989499999999:12.776133:1558061062000:446.3:1.8:12.856217
1558061061223;010D;46.0
1558061061595;010D;46.0
1558061061809;010D;46.0
1558061062076;010D;46.0
1558061062079;gps;43.500405:-96.77005333333334:12.776134:1558061063000:446.6:1.8:12.483558
1558061062344;010D;45.0
1558061062646;010D;45.0
1558061062880;010D;45.0
1558061063049;gps;43.50040333333333:-96.77020833333333:12.503272:1558061064000:446.9:1.9:12.518559
1558061063171;010D;44.0
1558061063532;010D;44.0
1558061063990;010D;43.0
1558061064100;gps;43.50040333333333:-96.77036000000001:12.233041:1558061065000:447.4:1.9:12.089281
1558061064330;010D;42.0
1558061064679;010D;41.0
1558061065187;010D;39.0
1558061065188;gps;43.50040666666667:-96.77050666666668:11.835559:1558061066000:447.9:1.9:11.262122
1558061065699;010D;34.0
1558061066025;010D;32.0
1558061066569;gps;43.500409999999995:-96.77063166666667:10.088986:1558061067000:448.3:1.9:9.763766
1558061066777;010D;23.0
1558061067243;010D;18.0
1558061067263;gps;43.500415000000004:-96.77073166666666:8.084879:1558061068000:448.9:1.9:7.5540633
1558061067679;010D;14.0
1558061068256;010D;8.0
1558061068278;gps;43.50042:-96.77078666666667:4.4708605:1558061069000:449.6:1.8:4.0374813
1558061069362;010D;4.0
1558061069363;gps;43.50042833333334:-96.77081333333332:2.341975:1558061070000:449.7:1.8:2.1875694
1558061069604;010D;0.0
1558061069851;010D;0.0
1558061070072;010D;0.0
1558061070078;gps;43.500435:-96.77081333333332:0.7412995:1558061071000:449.8:1.8:0.0
1558061070356;010D;0.0
1558061070555;010D;0.0
1558061070902;010D;0.0
1558061071076;gps;43.50043833333334:-96.77080833333333:0.5477422:1558061072000:449.8:1.8:0.0
1558061071217;010D;0.0
1558061071535;010D;0.0
1558061071794;010D;0.0
1558061072177;010D;0.0
1558061072212;gps;43.50044:-96.77080333333333:0.44383055:1558061073000:449.8:1.9:0.0
1558061072605;010D;0.0
1558061072848;010D;0.0
1558061073178;010D;0.0
1558061073179;gps;43.50044:-96.77080333333333:0.0:1558061074000:449.8:1.9:0.0
1558061074562;010D;0.0
1558061074563;gps;43.50044:-96.77080333333333:0.0:1558061075000:449.8:1.9:0.0
1558061075711;gps;43.50044:-96.77080333333333:0.0:1558061076000:449.8:1.9:0.0
1558061076961;010D;5.0
1558061076963;gps;43.50044:-96.77080333333333:0.0:1558061077000:449.8:1.9:0.0
1558061077172;gps;43.50044:-96.77080333333333:0.0:1558061078000:449.8:1.9:0.0
1558061077391;010D;8.0
1558061077795;010D;11.0
1558061078128;010D;12.0
1558061078129;gps;43.500454999999995:-96.77084500000001:3.7518568:1558061079000:449.9:1.8:2.7841325
1558061078541;010D;13.0
1558061079017;010D;14.0
1558061079384;gps;43.50046999999999:-96.77087166666666:2.721797:1558061080000:450.0:1.7:3.4090052
1558061079894;010D;17.0
1558061080536;gps;43.500505000000004:-96.77090000000001:4.5131845:1558061081000:450.0:1.7:4.7143407
1558061081116;010D;23.0
1558061081130;gps;43.500555:-96.77091333333334:5.662802:1558061082000:449.6:1.7:6.1159296
1558061081808;010D;29.0
1558061082106;gps;43.50062333333334:-96.77091666666665:7.603075:1558061083000:448.9:1.7:8.323573
1558061082363;010D;32.0
1558061083221;010D;35.0
1558061083222;gps;43.50071:-96.77091333333334:9.640643:1558061084000:448.1:1.6:9.930536
1558061084016;010D;38.0
1558061084478;gps;43.50081:-96.77091:11.122743:1558061085000:447.9:1.6:11.129839
1558061085123;010D;42.0
1558061085124;gps;43.500918333333324:-96.77090500000001:12.052866:1558061086000:447.4:1.6:12.296714
1558061085980;010D;44.0
1558061086438;gps;43.50103333333333:-96.77090500000001:12.787416:1558061087000:447.0:1.6:12.644152
1558061087101;010D;45.0
1558061087112;gps;43.50115000000001:-96.77090500000001:12.972741:1558061088000:446.5:1.6:12.665255
1558061087951;010D;45.0
1558061088324;gps;43.501265:-96.77090333333332:12.788123:1558061089000:446.3:1.7:12.441351
1558061088444;010D;45.0
1558061088664;010D;45.0
1558061088867;010D;45.0
1558061089096;010D;45.0
1558061089097;gps;43.501380000000005:-96.77090333333332:12.787416:1558061090000:446.3:1.7:12.450101
1558061089369;010D;45.0
1558061089610;010D;45.0
1558061089841;010D;45.0
1558061090162;010D;45.0
1558061090164;gps;43.50149666666666:-96.77090333333332:12.972741:1558061091000:446.1:1.7:12.474808
1558061090369;010D;45.0
1558061090582;010D;45.0
1558061090817;010D;45.0
1558061091095;010D;45.0
1558061091099;gps;43.50161333333334:-96.77091:12.98388:1558061092000:445.3:1.7:12.603488
1558061091326;010D;45.0
1558061091585;010D;45.0
1558061091898;010D;45.0
1558061092180;010D;46.0
1558061092181;gps;43.50172666666667:-96.77090166666667:12.620003:1558061093000:444.5:1.7:12.887615
1558061092448;010D;46.0
1558061092672;010D;46.0
1558061092884;010D;46.0
1558061093186;010D;46.0
1558061093187;gps;43.50184333333333:-96.77090166666667:12.972741:1558061094000:444.4:1.7:12.884012
1558061093437;010D;46.0
1558061093718;010D;46.0
1558061093971;010D;46.0
1558061094061;gps;43.501956666666665:-96.77090333333332:12.602809:1558061095000:444.1:1.7:12.904601
1558061094178;010D;46.0
1558061094451;010D;46.0
1558061094719;010D;46.0
1558061095000;010D;46.0
1558061095110;gps;43.502075:-96.77090333333332:13.158067:1558061096000:444.0:1.7:12.986442
1558061095233;010D;46.0
1558061095567;010D;46.0
1558061095766;010D;46.0
1558061095989;010D;46.0
1558061096261;gps;43.502190000000006:-96.77090333333332:12.787416:1558061097000:443.8:1.8:12.767685
1558061096432;010D;46.0
1558061096723;010D;46.0
1558061097060;010D;46.0
1558061097061;gps;43.5023:-96.77091:12.243255:1558061098000:443.3:1.8:12.639519
1558061097307;010D;46.0
1558061097614;010D;46.0
1558061097964;010D;46.0
1558061098061;gps;43.502415000000006:-96.77091166666666:12.788123:1558061099000:443.2:1.7:12.8407755
1558061098259;010D;46.0
1558061098654;010D;46.0
1558061098901;010D;46.0
1558061099121;gps;43.50252999999999:-96.77091333333334:12.788123:1558061100000:443.1:1.7:12.724963
1558061099125;010D;46.0
1558061099430;010D;46.0
1558061099648;010D;46.0
1558061099927;010D;46.0
1558061100120;gps;43.50264666666667:-96.77091166666666:12.973438:1558061101000:443.0:1.7:12.884526
1558061100246;010D;46.0
1558061100558;010D;46.0
1558061100789;010D;46.0
1558061100975;010D;46.0
1558061101073;gps;43.502765:-96.77090666666666:13.164245:1558061102000:442.7:1.8:13.056958
1558061101179;010D;46.0
1558061101355;010D;46.0
1558061101669;010D;46.0
1558061101935;010D;46.0
1558061102065;gps;43.50288333333333:-96.77090333333332:13.160812:1558061103000:442.5:1.8:12.820187
1558061102218;010D;46.0
1558061102596;010D;46.0
1558061102883;010D;46.0
1558061103124;010D;46.0
1558061103143;gps;43.50300000000001:-96.77090166666667:12.973438:1558061104000:442.2:1.8:12.975118
1558061103320;010D;46.0
1558061103565;010D;46.0
1558061103824;010D;46.0
1558061104134;010D;46.0
1558061104153;gps;43.50312:-96.77089833333334:13.346099:1558061105000:441.9:1.8:13.009089
1558061104486;010D;46.0
1558061104795;010D;46.0
1558061105064;010D;46.0
1558061105201;gps;43.503240000000005:-96.77089:13.360308:1558061106000:441.5:1.8:12.844893
1558061105338;010D;46.0
1558061105566;010D;46.0
1558061105797;010D;46.0
1558061106064;010D;46.0
1558061106067;gps;43.50335499999999:-96.77088833333333:12.788123:1558061107000:440.9:1.8:12.834599
1558061106373;010D;46.0
1558061106651;010D;46.0
1558061106904;010D;46.0
1558061107158;010D;46.0
1558061107161;gps;43.50347166666667:-96.77089166666669:12.975527:1558061108000:440.5:1.8:12.950411
1558061107446;010D;46.0
1558061107645;010D;46.0
1558061108010;010D;46.0
1558061108218;010D;46.0
1558061108219;gps;43.50358833333333:-96.77089166666669:12.972741:1558061109000:440.2:1.8:13.295275
1558061108817;010D;46.0
1558061109013;010D;46.0
1558061109136;gps;43.50370666666666:-96.77089333333333:13.158753:1558061110000:439.9:1.8:13.144976
1558061109240;010D;47.0
